source,target
Aerosmith,Velvet_Revolver
Aerosmith,Radiohead
Aerosmith,Stone_Temple_Pilots
Aerosmith,Staind
Aerosmith,Godsmack
Aerosmith,Heart_(band)
Aerosmith,Ted_Nugent
Aerosmith,Boston_(band)
Aerosmith,U2
AFI_(band),The_Offspring
AFI_(band),The_Cure
AFI_(band),Pantera
AFI_(band),David_Bowie
AFI_(band),Green_Day
AFI_(band),My_Chemical_Romance
AFI_(band),Joy_Division
AFI_(band),Guns_N'_Roses
AFI_(band),Metallica
AFI_(band),The_Smiths
AFI_(band),Echo_&_the_Bunnymen
AFI_(band),Panic!_at_the_Disco
Air_Supply,Rod_Stewart
Air_Supply,Chicago_(band)
Air_Supply,Cold_Chisel
Alanis_Morissette,Red_Hot_Chili_Peppers
Alanis_Morissette,Avril_Lavigne
Alanis_Morissette,Foo_Fighters
Alanis_Morissette,Radiohead
Alanis_Morissette,Ringo_Starr
Alanis_Morissette,Dave_Matthews_Band
Alanis_Morissette,The_Police
Alanis_Morissette,Barenaked_Ladies
Alanis_Morissette,The_Rolling_Stones
Alanis_Morissette,Rage_Against_the_Machine
Alanis_Morissette,Audioslave
Alanis_Morissette,Matchbox_Twenty
Alanis_Morissette,No_Doubt
Alanis_Morissette,Garbage_(band)
Alanis_Morissette,Neil_Young
Alice_Cooper,Alice_Cooper_(band)
Alice_Cooper,The_Beatles
Alice_Cooper,Frank_Zappa
Alice_Cooper,Pink_Floyd
Alice_Cooper,Elton_John
Alice_Cooper,David_Bowie
Alice_Cooper,Queen_(band)
Alice_Cooper,Donovan
Alice_Cooper,The_Rolling_Stones
Alice_Cooper,Lou_Reed
Alice_Cooper,The_Cars
Alice_Cooper,Duran_Duran
Alice_Cooper,Aerosmith
Alice_Cooper,Twisted_Sister
Alice_Cooper,Guns_N'_Roses
Alice_Cooper,Kiss_(band)
Alice_Cooper,Marilyn_Manson
Alice_Cooper,Rob_Zombie
Alice_Cooper,Jackson_Browne
Alice_Cooper,Iron_Maiden
Alice_Cooper,Led_Zeppelin
Alice_Cooper,Deep_Purple
Alice_Cooper,Mötley_Crüe
Alice_Cooper,Theory_of_a_Deadman
Alice_Cooper,Paul_McCartney
Alice_Cooper,Edgar_Winter
Alice_Cooper,U2
Alice_Cooper,ZZ_Top
Alice_Cooper,Filter_(band)
Alice_Cooper,The_Yardbirds
Alice_Cooper,The_Who
Alice_Cooper,Ozzy_Osbourne
Alice_Cooper,Midnight_Oil
Alice_Cooper,The_Beach_Boys
Alice_Cooper,Jane's_Addiction
Alice_Cooper,Bob_Dylan
Alice_Cooper,White_Zombie_(band)
Alice_Cooper,Sex_Pistols
Alice_Cooper,The_Flaming_Lips
Alice_Cooper,Megadeth
Alice_Cooper,Stevie_Ray_Vaughan
Alice_Cooper,John_Lennon
Alice_Cooper,Harry_Nilsson
Alice_Cooper,Linda_Ronstadt
Alice_Cooper,Don_Henley
Alice_Cooper,Judas_Priest
Alice_Cooper_(band),Alice_Cooper
Alice_Cooper_(band),The_Rolling_Stones
Alice_Cooper_(band),The_Beatles
Alice_Cooper_(band),The_Who
Alice_Cooper_(band),The_Kinks
Alice_Cooper_(band),The_Doors
Alice_Cooper_(band),The_Yardbirds
Alice_Cooper_(band),The_Lovin'_Spoonful
Alice_Cooper_(band),The_Animals
Alice_Cooper_(band),The_Byrds
Alice_Cooper_(band),Manfred_Mann
Alice_Cooper_(band),Frank_Zappa
Alice_Cooper_(band),Sex_Pistols
Alice_Cooper_(band),Nine_Inch_Nails
Alice_Cooper_(band),Ramones
Alice_Cooper_(band),New_York_Dolls
Alice_Cooper_(band),Guns_N'_Roses
Alice_Cooper_(band),Cheap_Trick
Alice_Cooper_(band),Ozzy_Osbourne
Alice_Cooper_(band),Kiss_(band)
Alice_Cooper_(band),White_Zombie_(band)
Alice_Cooper_(band),Marilyn_Manson_(band)
Alice_Cooper_(band),Elvis_Presley
Alice_Cooper_(band),Chuck_Berry
Alice_Cooper_(band),Pink_Floyd
Alice_Cooper_(band),The_Beach_Boys
Alice_in_Chains,Nirvana_(band)
Alice_in_Chains,Pearl_Jam
Alice_in_Chains,Soundgarden
Alice_in_Chains,Guns_N'_Roses
Alice_in_Chains,David_Bowie
Alice_in_Chains,Van_Halen
Alice_in_Chains,Iggy_Pop
Alice_in_Chains,Poison_(American_band)
Alice_in_Chains,Extreme_(band)
Alice_in_Chains,Anthrax_(American_band)
Alice_in_Chains,Megadeth
Alice_in_Chains,Slayer
Alice_in_Chains,Heart_(band)
Alice_in_Chains,Chris_Cornell
Alice_in_Chains,Ozzy_Osbourne
Alice_in_Chains,Metallica
Alice_in_Chains,Kiss_(band)
Alice_in_Chains,Lynyrd_Skynyrd
Alice_in_Chains,Pink_Floyd
Alice_in_Chains,Queensrÿche
Alice_in_Chains,The_Cult
Alice_in_Chains,Mötley_Crüe
Alice_in_Chains,Tool_(band)
Alice_in_Chains,Puddle_of_Mudd
Alice_in_Chains,Pantera
Alice_in_Chains,Velvet_Revolver
Alice_in_Chains,Led_Zeppelin
Alice_in_Chains,The_Doors
Alice_in_Chains,Foo_Fighters
Alice_in_Chains,Elton_John
Alice_in_Chains,Nine_Inch_Nails
Alice_in_Chains,Lamb_of_God_(band)
Alice_in_Chains,Avenged_Sevenfold
Alice_in_Chains,Deftones
Alice_in_Chains,Rush_(band)
Alice_in_Chains,Korn
Alice_in_Chains,Dallas_Green_(musician)
Alice_in_Chains,Black_Sabbath
Alice_in_Chains,Deep_Purple
Alice_in_Chains,AC/DC
Alice_in_Chains,Accept_(band)
Alice_in_Chains,Aerosmith
Alice_in_Chains,The_Beatles
Alice_in_Chains,Dio_(band)
Alice_in_Chains,Funkadelic
Alice_in_Chains,Jimi_Hendrix
Alice_in_Chains,Iron_Maiden
Alice_in_Chains,Jethro_Tull_(band)
Alice_in_Chains,Eddie_Money
Alice_in_Chains,Motörhead
Alice_in_Chains,Ted_Nugent
Alice_in_Chains,Pixies_(band)
Alice_in_Chains,Queen_(band)
Alice_in_Chains,The_Rolling_Stones
Alice_in_Chains,Scorpions_(band)
Alice_in_Chains,Thin_Lizzy
Alice_in_Chains,U2
Alice_in_Chains,The_Velvet_Underground
Alice_in_Chains,ZZ_Top
Alice_in_Chains,The_Smashing_Pumpkins
Alice_in_Chains,Godsmack
Alice_in_Chains,Staind
Alice_in_Chains,Three_Days_Grace
Alice_in_Chains,10_Years_(band)
Alice_in_Chains,Breaking_Benjamin
Alice_in_Chains,Bush_(British_band)
Alice_in_Chains,Creed_(band)
Alice_in_Chains,Days_of_the_New
Alice_in_Chains,Disturbed_(band)
Alice_in_Chains,Hoobastank
Alice_in_Chains,Incubus_(band)
Alice_in_Chains,Mudvayne
Alice_in_Chains,Nickelback
Alice_in_Chains,Queens_of_the_Stone_Age
Alice_in_Chains,Seether
Alice_in_Chains,Stone_Sour
Alice_in_Chains,Theory_of_a_Deadman
Alter_Bridge,Creed_(band)
Alter_Bridge,Filter_(band)
Alter_Bridge,Fuel_(band)
Alter_Bridge,Lacuna_Coil
Alter_Bridge,Guns_N'_Roses
Alter_Bridge,Velvet_Revolver
Alter_Bridge,Godsmack
Alter_Bridge,Black_Stone_Cherry
Alter_Bridge,Theory_of_a_Deadman
Alter_Bridge,Halestorm
Alter_Bridge,Shinedown
Alter_Bridge,Disturbed_(band)
Alter_Bridge,Breaking_Benjamin
Alter_Bridge,Volbeat
Alter_Bridge,Led_Zeppelin
Alter_Bridge,Van_Halen
Alter_Bridge,Pink_Floyd
Alter_Bridge,Avenged_Sevenfold
Alter_Bridge,Linkin_Park
Alter_Bridge,Three_Days_Grace
Alter_Bridge,Bon_Jovi
Ambrosia_(band),The_Alan_Parsons_Project
Ambrosia_(band),The_Beach_Boys
Ambrosia_(band),The_Beatles
Ambrosia_(band),Fleetwood_Mac
Ambrosia_(band),Heart_(band)
Ambrosia_(band),Kenny_Loggins
Ambrosia_(band),Pink_Floyd
Ambrosia_(band),Edgar_Winter
Ambrosia_(band),Eagles_(band)
Ambrosia_(band),Journey_(band)
Ambrosia_(band),America_(band)
America_(band),The_Who
America_(band),Elton_John
America_(band),The_Beatles
America_(band),"Crosby,_Stills,_Nash_&_Young"
America_(band),George_Harrison
America_(band),Jackson_Browne
America_(band),The_Mamas_&_the_Papas
America_(band),Eagles_(band)
America_(band),Toto_(band)
America_(band),Christopher_Cross
America_(band),Journey_(band)
America_(band),Steely_Dan
America_(band),Three_Dog_Night
America_(band),The_Smashing_Pumpkins
America_(band),Bob_Dylan
America_(band),Gin_Blossoms
America_(band),The_Beach_Boys
Anthrax_(American_band),Metallica
Anthrax_(American_band),Megadeth
Anthrax_(American_band),Slayer
Anthrax_(American_band),Black_Sabbath
Anthrax_(American_band),Kiss_(band)
Anthrax_(American_band),Judas_Priest
Anthrax_(American_band),Ozzy_Osbourne
Anthrax_(American_band),Living_Colour
Anthrax_(American_band),Iron_Maiden
Anthrax_(American_band),Alice_in_Chains
Anthrax_(American_band),Jane's_Addiction
Anthrax_(American_band),White_Zombie_(band)
Anthrax_(American_band),Pantera
Anthrax_(American_band),Motörhead
Anthrax_(American_band),Evanescence
Anthrax_(American_band),Slipknot_(band)
Anthrax_(American_band),Lamb_of_God_(band)
Anthrax_(American_band),Killswitch_Engage
Anthrax_(American_band),The_Rolling_Stones
Anthrax_(American_band),The_Beatles
Anthrax_(American_band),Rush_(band)
Anthrax_(American_band),Cheap_Trick
Anthrax_(American_band),AC/DC
Anthrax_(American_band),Queen_(band)
Anthrax_(American_band),Thin_Lizzy
Anthrax_(American_band),Boston_(band)
Anthrax_(American_band),Journey_(band)
Anthrax_(American_band),Deep_Purple
Anthrax_(American_band),Accept_(band)
Anthrax_(American_band),Sepultura
Anthrax_(American_band),Korn
Anthrax_(American_band),Limp_Bizkit
Anthrax_(American_band),311_(band)
Anthrax_(American_band),Papa_Roach
Anthrax_(American_band),Avenged_Sevenfold
April_Wine,Elton_John
April_Wine,The_Guess_Who
April_Wine,Jethro_Tull_(band)
April_Wine,Badfinger
April_Wine,Heart_(band)
April_Wine,Bachman–Turner_Overdrive
April_Wine,The_Rolling_Stones
April_Wine,Styx_(band)
April_Wine,Rush_(band)
April_Wine,Journey_(band)
April_Wine,Toto_(band)
April_Wine,Boston_(band)
April_Wine,Blue_Öyster_Cult
April_Wine,Loverboy
April_Wine,Neil_Young
April_Wine,Eddie_Money
April_Wine,Uriah_Heep_(band)
April_Wine,Def_Leppard
April_Wine,Foreigner_(band)
